"가격","책제목","작가이름","카테고리"
"26,000원","칼만 필터는 어렵지 않아 with MATLAB Examples","김성필 ","대학교재>수학/과학/공학"
"28,000원","제대로 알고 쓰는 논문 통계분석 : SPSS & AMOS (개정증보판)","노경섭 ","대학교재>수학/과학/공학"
"24,000원","이산수학 : tool 중심으로 이해하는 새로운 시각","박두순 ","대학교재>수학/과학/공학"
"34,000원","스트랭 미분적분학","Gilbert Strang ","대학교재>수학/과학/공학"
"28,000원","한번에 통과하는 논문 : AMOS 구조방정식 활용과 SPSS 고급 분석","히든그레이스 논문통계팀 ","대학교재>수학/과학/공학"
"24,000원","공학도라면 반드시 알아야 할 최소한의 과학","John Bird ","대학교재>수학/과학/공학"
"22,000원","NCS를 기반으로 한 직무 기초수학","이광연 , 조성훈 , 최상일 ","대학교재>수학/과학/공학"
"32,000원","수치해석학 바이블","Ward Cheney , David Kincaid ","대학교재>수학/과학/공학"
"24,000원","MATLAB으로 배우는 공학 수치해석(개정판)","방성완 ","대학교재>수학/과학/공학"
"26,000원","만만한 통계 : Excel 활용","닐 샐카인드(Neil J. Salkind) ","대학교재>수학/과학/공학"
"20,000원","문과생도 이해하는 확률과 통계","야마모토 토시로 ","대학교재>수학/과학/공학"
"24,000원","수식이 보이는 공학수학 : Engineering Mathematics (개정판)","장윤석 ","대학교재>수학/과학/공학"
"28,000원","MATLAB으로 배우는 공학수학 : Engineering Mathematics (개정판)","소상균 ","대학교재>수학/과학/공학"
"29,000원","4차 산업혁명 시대의 기업 혁신을 위한 비즈니스 프로세스","정승렬 , 이정규 ","대학교재>수학/과학/공학"
"30,000원","생각하며 배우는 대학물리학","이기영 ","대학교재>수학/과학/공학"
"23,000원","IT CookBook, 확률과 랜덤 과정","정호영 ","대학교재>수학/과학/공학"
"28,000원","미분적분학 에센스","제임스 스튜어트 ","대학교재>수학/과학/공학"
"34,000원","미분적분학 바이블","제임스 스튜어트 ","대학교재>수학/과학/공학"
"22,000원","공학도라면 반드시 알아야 할 최소한의 수학","John Bird ","대학교재>수학/과학/공학"
"29,000원","개념이 잡히는 디지털 전자회로","강영국 ","대학교재>수학/과학/공학"
"20,000원","문과생도 이해하는 전기전자수학","야마시타 아키라 ","대학교재>수학/과학/공학"
"20,000원","확률과 통계 입문 : Basic Probability & Statistics","이재원 ","대학교재>수학/과학/공학"
"22,000원","기초 미분적분학(개정판) : Pre Calculus","함남우 ","대학교재>수학/과학/공학"
"20,000원","기초 공업수학","마인숙 ","대학교재>수학/과학/공학"
"25,000원","IT CookBook, 컴퓨팅 사고력을 키우는 이산수학(개정판)","박주미 ","대학교재>수학/과학/공학"
"25,000원","IT CookBook, 기초 전기전자 에센스","모현선 , 장성용 , 홍익표 ","대학교재>수학/과학/공학"
"25,000원","제대로 알고 쓰는 R 통계분석","이윤환 ","대학교재>수학/과학/공학"
"25,000원","생생한 사례로 배우는 확률과 통계","이재원 ","대학교재>수학/과학/공학"
"26,000원","공학과 경영","김상균 ","대학교재>수학/과학/공학"
"24,000원","제대로 시작하는 기초 통계학 : Excel 활용","노경섭 ","대학교재>수학/과학/공학"
"35,000원","미적분학","Carol Ash , Robert B. Ash ","대학교재>수학/과학/공학"
"25,000원","최신 공학수학 with Sage Ⅰ","이상구 , 김영록 , 박준현 , 김응기 , 이재화 ","대학교재>수학/과학/공학"
"23,000원","최신 공학수학 with Sage Ⅱ","이상구 , 김영록 , 박준현 , 김응기 , 이재화 ","대학교재>수학/과학/공학"
"22,000원","창의적 공학설계(개정판)","김은경 ","대학교재>수학/과학/공학"
"23,000원","창의와 혁신의 시크릿, 트리즈 : Training How To Think Inventively","김은경 ","대학교재>수학/과학/공학"
"27,000원","MATLAB으로 배우는 선형대수학 : Linear Algebra with MATLAB","이광연 , 설한국 ","대학교재>수학/과학/공학"
"24,000원","창의융합 프로젝트 아이디어북 : Creative Convergence Capstone Design with PBL","조준동 ","대학교재>수학/과학/공학"
"22,000원","전공이 보이는 미분적분학: FOR ELECTRICAL & ELECTRONIC ENGINEERS","장윤석 ","대학교재>수학/과학/공학"
"25,000원","IT CookBook, 공업수학 : 기본 개념부터 응용까지","이준탁 ","대학교재>수학/과학/공학"
"20,000원","공학 핵심수학 : Core Mathematics for Engineering","함남우 ","대학교재>수학/과학/공학"
"26,000원","이자론 중심으로 배우는 금융수학 : 보험계리사 시험 대비","이재원 ","대학교재>수학/과학/공학"
"26,000원","제대로 배우는 MATLAB","방성완 ","대학교재>수학/과학/공학"
"23,000원","이공계생을 위한 확률과 통계 : Forward-Looking Probability and Statistics","안승철 ","대학교재>수학/과학/공학"
"18,000원","공학 기초수학 : Basic Mathematics for Engineering","함남우 ","대학교재>수학/과학/공학"
"22,000원","실전으로 배우는 발명·특허","윤상원 ","대학교재>수학/과학/공학"
"20,000원","설계 프로세스로 배우는 창의적 공학설계","노승환 ","대학교재>수학/과학/공학"
"22,000원","기초수학 : Basic Mathematics","이재원 , 박성욱 ","대학교재>수학/과학/공학"
